canal,nome video,data,contagem
Gabi Haxkar, REALIZEI O SONHO DE MUITA GENTE,2021-07-04 10:13:29.966,2
Raulfy Daniel, 2 de julho de 2021,2021-07-04 10:13:26.755,2
Risadinha De Ladrão, CABISBAIXO VENDENDO PICOLÉ,2021-07-04 10:12:25.326,2
GUI POLÊMICO, Quando você leva o celular pro banheiro e sua mulher pensa besteira kkkkkkkk,2021-07-04 10:11:30.198,2
O Netinho, Homem aranha no aranhaverso,2021-07-04 10:10:35.609,2
Sivonaldo Oliveira, Tiro com o silenciador,2021-07-04 10:09:55.227,2
tik Tok do Renato Garcia, tik Tok de Renato Garcia ❤️😍,2021-07-04 10:09:44.680,2
Guilherme Tank, CREDO Q DELÍCIA KK VÍDEO NOVOOO,2021-07-04 10:08:43.411,2
Spiderbritto, Homem aranha voando no balanço infinito em pé,2021-07-04 10:08:26.121,2
GUI POLÊMICO, Me de um motivo pra mim não quebrar a sua cara de novo?? 😡😡😡,2021-07-04 10:07:22.503,2
Enaldinho, TROCANDO FIDGET TOYS DE UM JEITO DIFERENTE COM MEU IRMÃO! #shorts,2021-07-04 10:06:56.766,2
vídeos legal, O cara com dinheiro e outra coisa,2021-07-04 10:06:32.821,2
Delegado da Cunha," AFINAL, DACUNHA É 13 OU 17? - DACUNHA NA ESCUTA COM MAURICIO MEIRELLES",2021-06-25 16:21:43.138,2
Rooster Time, [SFM FNaF] Nightmare VR vs Toxic Animatronics,2021-06-22 19:43:51.211,2
Fábrica de Idiotas Oficial, ANIMAÇÃO - FNAF 2  PREQUEL,2021-06-22 19:43:31.255,2
Canal do Vipper, 5 AM at Freddy's: A PEGADINHA - Dublado PT/BR,2021-06-22 19:43:24.329,2
GH'S, AMONG US CUP SONG COMPLETE EDITION #4,2021-06-22 19:42:11.008,2
Melhores Trailers de Filmes," PATRULHA CANINA: O FILME Trailer Brasileiro DUBLADO (Animação, 2021)",2021-06-22 19:38:18.448,2
Netflix BFF, Sharkboy and Lavagirl | We Can Be Heroes| netflix,2021-06-22 19:37:26.687,2
Miramax," The Adventures of Sharkboy and Lavagirl | 'Brrrr, It's Cold In Here' (HD) | MIRAMAX",2021-06-22 19:36:52.770,2
Stop Motion Cooking, Someone Please Save TOM & JERRY - Funny Food Animation | Stop Motion Cooking & ASMR,2021-06-22 19:02:55.997,2
Cortes do Flow [OFICIAL], CIRO GOMES E SEU PLANO DE GOVERNO PARA 2022 | Cortes do Flow,2021-06-21 14:43:30.884,2
Cortes do Flow [OFICIAL], CIRO GOMES CRITICA MODELO TRIBUTÁRIO BRASILEIRO | Cortes do Flow,2021-06-21 14:37:11.045,2
Cortes do Flow [OFICIAL], CIRO GOMES EXPÕE DADOS SOBRE GOVERNO PETISTA | Cortes do Flow,2021-06-21 14:28:40.358,2
Cortes do Flow [OFICIAL], CIRO GOMES SE IRRITA E EXPLANA BOLSONARO AO VIVO | Cortes do Flow,2021-06-21 14:10:25.738,2
Cortes do Flow [OFICIAL], MONARK IMPRESSIONOU CIRO GOMES COM SUGESTÃO | Cortes do Flow,2021-06-21 14:06:28.588,2
Cortes do Cometa [OFICIAL], A VERDADE SOBRE O BOM DIA E COMPANHIA | Cortes do Cometa,2021-06-18 22:07:40.507,2
Instituto Montanari," 3 PARCELA AUXÍLIO EMERGENCIAL PAGAMENTO HOJE! BOLSA FAMÍLIA DE R$ 300, E AGORA?",2021-06-18 22:01:03.180,2
Cortes De Todos os Podcasts, DELEGADO DA CUNHA PEDE DESCULPAS APÓS ERRO NO PODPAH,2021-06-18 21:54:10.478,2
Canal XProjetos, COMO FAZER UMA RABIOLA PARA PIPA,2021-06-18 13:39:50.249,2
Canal XProjetos, COMO FAZER CABRESTO DE PIPA,2021-06-18 13:18:35.821,2
rezendeevil, QUEM É O MAIS ESPERTO? ( WHO IS SMARTER? ) #shorts,2021-06-18 00:54:15.180,2
ser feliz é tão fácil ., Vou mostra quem é jubileu.kkkkkkkkk.,2021-06-18 00:53:44.211,2
Sau Sampaio, CARANGUEJO RECEITA RÁPIDA E FÁCIL - Como fazer caranguejo,2021-06-18 00:52:56.582,2
Hinatinha Hyuga, Deidara no leilão kkkk 👇 descrição,2021-06-18 00:52:49.877,2
Mec Tagger, Orochi Falando do Bonde da Stronda no Flow Podcast Leo Stronda & Diego Thug,2021-06-18 00:52:18.109,2
Raphael Droid, JOÃO CAETANO FICA MEXENDO NO CELULAR DURANTE O FLOW PODCAST,2021-06-18 00:51:37.871,2
Talk Flow, TOGURO CONFRONTA FLOW,2021-06-18 00:47:32.704,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA SOBRE TROPA DE ELITE,2021-06-18 00:37:26.449,2
Nick Pro, Naruto VS Goku In Real Life (Parkour Battle),2021-06-16 21:02:11.409,2
Thelastbrickblender, Lego Spider-man vs Mysterio! Recreation Blender,2021-06-16 21:01:26.938,2
boruto sensei, naruto minato kushina edit,2021-06-16 21:00:45.189,2
Los Wagners, ABRIU A GARRAFA COM O PÉ? 👀🍾,2021-06-16 21:00:43.984,2
GUI POLÊMICO," Os caras veio corta a minha luz, meti maior broncão kkkkkkkk",2021-06-16 21:00:40.215,2
Guilherme Tank, A COCA-COLA FICOU TRANSPARENTE ???,2021-06-16 21:00:37.148,2
Netflix BFF, Sharkboy and Lavagirl | We Can Be Heroes| netflix,2021-06-16 20:09:34.338,2
Netflix Latinoamérica," Superheroicos, con Priyanka Chopra Jonas y Pedro Pascal | Tráiler oficial | Netflix",2021-06-16 20:08:52.010,2
mundo Da alyce, Arlequina bebê versus Alerquina Mãe Versus Arlequina,2021-06-16 20:07:46.464,2
Instituto Montanari, 3 PARCELA CALENDÁRIO AUXÍLIO EMERGENCIAL 2021 BOLSA FAMÍLIA PAGAMENTOS ANTECIPADOS!,2021-06-16 15:47:58.998,2
MundoDasCriancasTV, Parabéns pra voce - Música Infantil - Canções Populares,2021-06-14 14:26:04.285,2
Melhores Trailers de Filmes," PATRULHA CANINA: O FILME Trailer Brasileiro DUBLADO (Animação, 2021)",2021-06-14 14:25:25.705,2
Produções do Futuro, O FILME DA PATRULHA CANINA TRAILER DUBLADO COMPLETO,2021-06-14 14:25:11.085,2
💧Nya Walker💧, Paw Patrol: The Movie edit!|Nya Walker!,2021-06-14 14:23:40.283,2
Yasmin Verissimo, Mamãe - Yasmin Verissimo - Música dia das mães,2021-06-14 14:12:36.018,2
Bolofofos, MÚSICA DE ANIVERSÁRIO | Bolofofos | Parabéns pra você,2021-06-14 14:10:36.357,2
QUELLY SILVA Dicas para o Departamento Infantil, PARABÉNS HOJE É SEU ANIVERSÁRIO 🎼🎉 Música para aniversário,2021-06-14 14:09:35.606,2
Astuces du Panda, HALLOWEEN | IDÉES DE MAQUILLAGE EFFRAYANT ET IDÉES DE COSTUMES DIY,2021-06-14 02:50:00.978,2
adsense, https://www.youtube.com/watch?v=s08Gr1HtaHo,2021-06-14 02:49:20.069,2
Bobzin Zueiro, PEPPA PIG DA ZUEIRA - O BOLO DE COCÔ,2021-06-14 02:47:38.324,2
Stop Motion Cooking, Someone Please Save TOM & JERRY - Funny Food Animation | Stop Motion Cooking & ASMR,2021-06-14 02:42:09.326,2
O Netinho, Quando o celular fica com 1%,2021-06-14 02:41:34.448,2
Janilson Silva, REACT -  ESTRUIU O M&M🥲,2021-06-14 02:41:32.126,2
Guilherme Tank, O FOGO APAGA CANETA??? OLOKO,2021-06-14 02:40:26.861,2
CANAL KKK, O STEVE JOB's TÁ FAZENDO MILAGRE LÁ DO CÉU...,2021-06-14 02:40:25.165,2
adsense, https://www.youtube.com/watch?v=-VirGCO17DI,2021-06-14 02:40:21.541,2
CREMOSINHO FC, cremosinho dançando Quando você tem a arte da sedução,2021-06-14 02:40:19.403,2
V1ctorian0, SEMPRE TEM! 😂,2021-06-14 02:40:17.963,2
Cacau Haxkar, Amigo Caloteiro,2021-06-14 02:40:11.217,2
O Netinho, Copo de água,2021-06-14 02:39:10.915,2
adsense, https://www.youtube.com/watch?v=DX2Jr0VuBeU,2021-06-14 02:39:08.261,2
Gabriel Boruto Otaku, uno Luccas neto,2021-06-14 02:38:37.924,2
ProSidu, MEGA ESPIRAL SPIRAL ROLL,2021-06-14 02:38:36.581,2
Cacau Haxkar, Amigas por acaso😂,2021-06-14 02:38:34.847,2
GUI POLÊMICO, Um milagre que não deu certo kkkkkkkk,2021-06-14 02:38:33.323,2
adsense, https://www.youtube.com/watch?v=BNfVACOPWDg,2021-06-14 02:38:30.207,2
Você antenada TikTok ✔, E se o Homem Aranha fizesse a trend Buss it,2021-06-14 02:38:19.493,2
MGAMES_TV, Marvel's Spider-Man | Серия 1 | PS4 PRO,2021-06-14 02:38:05.711,2
Oli Natu, QUANDO SEU AMIGO É LADRÃO,2021-06-14 02:36:30.825,2
CANAL KKK, NAO SABE NEM BRINCAR,2021-06-14 02:36:01.798,2
DANIEL PIMENTINHA, 22 de março de 2021,2021-06-14 02:36:00.445,2
GUI POLÊMICO, Catador de linha merece oque ??? 😡😡😡,2021-06-14 02:35:56.702,2
adsense, https://www.youtube.com/watch?v=bcXMfKVDWuY,2021-06-14 02:35:54.251,2
O Netinho, Quando eu demoro de atender o motoboy,2021-06-14 02:35:48.932,2
Canal da Sossô, O suco acabou!,2021-06-14 02:32:56.037,2
MEMES KWAI, MEMES - COMO NUNCA MAIS SER ASSALTADO,2021-06-14 02:32:53.008,2
adsense, https://www.youtube.com/watch?v=sbw36f-JrKg,2021-06-14 02:32:19.851,2
Oli Natu, QUANDO O REI LEÃO É AMOEBA,2021-06-14 02:31:50.499,2
Guilherme GDP Gamer, MIOJO EM DIFERENTES LINGUAS,2021-06-14 02:31:44.887,2
ProSidu, DE GORDO A MAGRO,2021-06-14 02:31:04.680,2
Léo Léo, PREGUIÇA DE LAVAR A LOUÇA 😂😫,2021-06-14 02:30:45.328,2
Cacau Haxkar, Aaaa esse final😱😱,2021-06-14 02:30:10.556,2
GUI POLÊMICO, Me da só um motivo pra mim não quebrar a sua cara de novo 😡😡,2021-06-14 02:28:48.886,2
laud TV, Circo dos Horrores/música,2021-06-14 02:28:25.906,2
Maria Clara & JP, Maria Clara e JP fazem o desafio quente vs frio 🔥❄️ Maria Clara and JP made a Hot vs Cold challenge.,2021-06-14 00:52:06.229,2
Maria Clara & JP, Maria Clara e JP comem batatas misteriosas de Halloween | Halloween stories for kids,2021-06-14 00:46:40.515,2
MundoDasCriancasTV, Parabéns pra voce - Música Infantil - Canções Populares,2021-06-14 00:22:27.344,2
Instituto Montanari, 13/06 AUXÍLIO EMERGENCIAL NOVO BOLSA FAMÍLIA AUMENTO DO VALOR EM MAIS DE 50%? ENTENDA AQUI!,2021-06-13 20:09:11.979,2
Instituto Montanari, 12/06 CONFIRA OS VALORES PRORROGAÇÃO AUXÍLIO EMERGENCIAL BOLSA FAMÍLIA VAI ATÉ QUANDO,2021-06-13 20:07:29.010,2
Programe Python, RANGE vs LINSPACE vs ARANGE - Qual a diferença? Python NUMPY,2021-06-12 17:18:32.262,2
Dubla Mundos, A Evolução de Chucky 1988-2019  (animação) Dublado - Brinquedo Assassino,2021-06-11 16:43:49.981,2
Nicoly Oliveira, Luisa sonza vs Virgínia Fonseca #2,2021-06-11 16:37:52.090,2
Instituto Montanari, 5 PARCELA AUXÍLIO EMERGENCIAL OU PRORROGAÇÃO ATÉ FINAL DO ANO? BOLSA FAMÍLIA AUMENTO DO VALOR? VEJA!,2021-06-06 13:07:05.395,2
Nerds de Negócios, MINHA FAMILIA CRIOU A MAIZENA E A VIGOR - Entrevista com meu Pai,2021-06-06 01:08:43.105,2
Flow Podcast e PodPah - Cortes, DA CUNHA E GABRIEL MONTEIRO SOBRE ABORDAGENS POLÊMICAS,2021-06-06 00:38:30.999,2
I Craft, Building 3 in 1 Heart Aquarium with Cement and Brick - DIY Gaden Decoration,2021-06-04 14:48:55.687,2
I Craft, Garden Designs | Setup 2 in 1 Heart Aquarium with Cement and Brick,2021-06-04 13:32:51.343,2
Talk Flow, DIFERENÇA PCC X COMANDO VERMELHO,2021-06-04 13:22:40.014,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA SOBRE PEDRlNH0 M*TAD0R,2021-06-04 13:17:39.122,2
TeleObjetiva, Holter 24 Horas e o diagnóstico de arritmias,2021-06-03 19:06:32.259,2
Pilar Hospital, Eletrocardiograma e Holter ECG 24 horas,2021-06-03 19:05:43.681,2
Revista da Manhã, Patricia Abravanel causa polêmica após minimizar homofobia - Revista da Manhã (02/06/21),2021-06-03 13:00:28.926,2
Mitsumasa, GOKU vs NARUTO - EPIC RAP BATTLE - REAL LIFE - BATALHA DE RAP - VIDA REAL -ERB,2021-05-31 23:28:18.367,2
Canal Conspiração, NARUTO NO BRASIL 5,2021-05-31 23:18:16.385,2
Mamute Congelado, ♫ MÚSICA DO NARUTO (O golpe ta ai PARÓDIA - Menor Nico e Matheuzinho),2021-05-31 23:14:29.691,2
Lowcarbcomedy, Social Mediasochist II - On and On | Foster & Lowcarbcomedy | Romantic Horror Parody Music Video,2021-05-31 23:13:12.232,2
Lowcarbcomedy, Common Shiner's Social Mediasochist | Lowcarbcomedy | Teen Slasher Romantic Parody Music Video,2021-05-31 23:10:51.323,2
Dubla Mundos, A Evolução de Jason Voorhees (Animação) Dublado | Sexta-feira 13,2021-05-31 23:09:44.234,2
Dubla Mundos, A Evolução de Pennywise - IT a Coisa (animação) Dublado,2021-05-31 23:06:47.855,2
Dubla Mundos, A Evolução de Chucky 1988-2019  (animação) Dublado - Brinquedo Assassino,2021-05-31 23:05:02.865,2
Damoto Edições, (REEDITADO) Rap do Miles Morales (Aranhaverso) - O NOVO HOMEM ARANHA | NERD HITS,2021-05-31 23:04:17.867,2
Mamute Congelado," ♫ MÚSICA DO SIREN HEAD ( Toma PARÓDIA - Luisa Sonza, MC Zaac)",2021-05-31 23:03:55.761,2
TK RAPS," Rap Então Me Sacrifico (Homem de Ferro, Guy, Ace.....) // TK RAPS",2021-05-31 23:03:15.645,2
Thiaguinho Winchester TM, Rap Do Siren Head (Cabeça De Sirene) - A CAÇA VAI COMEÇAR!! | Thiaguinho Winchester,2021-05-31 23:02:20.694,2
Enaldinho, MINHA NAMORADA USOU O BICHINHO BIPOLAR! #shorts,2021-05-31 23:01:07.537,2
TONN616, HOMEM-ARANHA REVOLTADO,2021-05-31 23:00:51.311,2
DNX SASUKE, Rap do homem-aranha,2021-05-31 23:00:43.274,2
Dois Por Cento TV, Expliquem essa Terrappanistas! 😂 #shorts,2021-05-31 23:00:41.881,2
aranha de ferro, rap homem de ferro ultimato,2021-05-31 22:59:26.919,2
Kitty _sak :3, Mds wow tão fofos o Naruto e o Kurama [ | memes/anime Naruto part 18 | ],2021-05-31 22:58:39.707,2
tio Itachi, Edite Boruto e himawari modo Kurama,2021-05-31 22:58:29.274,2
EL_ENZO FF¿, rap itachi edit,2021-05-31 22:57:29.356,2
Julia_Gacha :3, APRESENTAÇÃO DA AKATSUKI,2021-05-31 22:56:45.099,2
30PRAUM, Teto - M4 feat. Matuê,2021-05-31 22:56:23.459,2
LexClash, Rap do Miles Morales 🕸️ (PS5 | PS4) | SPIDER MAN | LexClash,2021-05-31 22:55:20.630,2
DinoSonso, Menino vendia na Rua  vira Modelo,2021-05-31 22:53:46.889,2
JORNAL DAS FAVELAS, PM BOPE PRENDE CHEFÃO DO CV W DA ROCINHA E CRIAS DA TROPA DO URSO NO SÃO CARLOS MINEIRA TCP X CV RJ,2021-05-31 22:53:36.760,2
Spiderbritto, Homem aranha chutando lata de ...,2021-05-31 22:52:01.134,2
Remela da Chapada!!!, Efeito dominó duplo de lajotas e como fazer na descrição!,2021-05-31 22:51:56.457,2
CANAL KKK," FOI SÓ SENTIR A GALHADA NASCER, QUE...",2021-05-31 22:51:45.227,2
Junior Silva, Vem fazer cri cri no exército,2021-05-31 22:51:38.283,2
Matheus Otaku, Naruto,2021-05-31 22:51:27.175,2
Julio Giani, TIPOS DE CICLISTAS NO PUMP TRACK 🤣 #shorts,2021-05-31 22:49:04.280,2
Pedro Maia Oficial, MC PEDRINHO sendo super carinhoso com as FÃS e rindo junto,2021-05-31 22:49:02.308,2
CANAL KKK, FEBRE DO LOCO,2021-05-31 22:48:48.452,2
canal precioso games, sharkboy e lava girl 2005 vs 2020,2021-05-31 22:48:33.811,2
Little Miss Moir, [The Adventures of Sharkboy and Lavagirl] Dream - Robert Rodriguez || Synthesia Piano Tutorial,2021-05-31 22:48:14.401,2
Tudo e Mais Um Pouco, SOLTANDO PIPA 💙💙💙💜🤩😱🌏,2021-05-31 22:45:47.065,2
Momentum Pictures, NEKROTRONIC - Official Trailer,2021-05-30 20:15:00.517,2
CBS Films, SCARY STORIES TO TELL IN THE DARK - Official Trailer - HD,2021-05-30 20:11:40.802,2
Vertical Entertainment US, Look Away | Official Trailer (HD) | Vertical Entertainment,2021-05-30 20:10:23.265,2
Refúgio Cult, 6 SÉRIES SENSACIONAIS NA AMAZON E NA NETFLIX PRA VER AGORA MESMO,2021-05-29 05:38:55.297,2
Metralhadora de motivAÇÃO - Lucas Neto, SÓ VEJA SE QUER SER POLÍCIA!,2021-05-28 15:00:12.864,2
Trechos Maromba, PRISÃO DO MAIOR TRAFICANTE INTERNACIONAL *André do Rap* - Delegado Da Cunha | Ironberg Podcast,2021-05-28 14:58:23.717,2
pobre na cozinha, Ele E Top De Vendas! Fiz 50 Copinhos Para Vender Por 1.00$,2021-05-28 14:55:20.078,2
adsense, BANCO PAN -  BLAST,2021-05-28 14:55:06.443,2
Flow Podcast e PodPah - Cortes, COMO PEDRlNH0 PASSOU 42 AN0S NA PRISÃ0,2021-05-28 14:51:44.566,2
Tele Silk, Dicas de Balcão - Silk | 7. Como Esticar a Tela,2021-05-28 13:39:38.941,2
Serigrafia - Jean do Silk," Fixador de Emulsão, Endurecedor de Emulsão pra que serve e como utilizar! -  episódio 64",2021-05-27 14:23:01.519,2
Canal IN, INVADIMOS A MANSÃO MAL ASSOMBRADA - ESPECIAL HALLOWEEN,2021-05-26 22:07:27.217,2
Trechos Maromba, DIA QUE UM POLICIAL QUIS PRENDER O DA CUNHA *ele mitou* - Delegado Da Cunha | Ironberg Podcast,2021-05-26 22:05:10.900,2
Escolta Armada RJ," Escolta RJ - Ladrões desistem de praticar assalto após pedestre sacar arma, confira !",2021-05-26 22:04:34.378,2
DinoSonso, Tiramos ela das RUAS,2021-05-26 22:03:59.848,2
Ruty Dias, Jogo do palhaço assassino,2021-05-26 22:02:07.347,2
brian games ff, A primeira vez no jogo do palhaço assassino,2021-05-26 22:01:23.575,2
Vídeos Perturbadores, Sonhe Sonhe Sonhe | As Aventuras de SharkBoy e Lavagirl em 3D,2021-05-26 21:59:05.934,2
adsense, https://www.youtube.com/watch?v=J_wjF_EL5l8,2021-05-26 21:55:07.067,2
adsense, https://www.youtube.com/watch?v=AS-SemrLJa0,2021-05-26 21:32:45.915,2
adsense, https://www.youtube.com/watch?v=3z2dujCfzBY,2021-05-26 21:29:55.306,2
adsense, https://www.youtube.com/watch?v=g49yOHgXmI8,2021-05-26 21:26:33.808,2
adsense, https://www.youtube.com/watch?v=0qvBiPalvXY,2021-05-26 21:23:13.998,2
MILLY," (FREE) Moneybagg Yo x Pooh Shiesty x Big Scarr Type Beat 2021 - ""God's Plan""",2021-05-26 01:26:24.159,2
27Corazones Beats, [FREE] Lil Baby x Quavo Type Beat '700' Free Trap Beats 2021 - Rap/Trap Instrumental,2021-05-26 01:26:12.295,2
Danilo Snider, SGT Cavalcanti da ROTA - O dia que enquadrei o Mano Brown !,2021-05-26 01:24:47.540,2
adsense, https://www.youtube.com/watch?v=sK7vDveR78c,2021-05-24 21:24:23.707,2
adsense, https://www.youtube.com/watch?v=FLu8_D_w9-k,2021-05-24 21:21:40.161,2
adsense, https://www.youtube.com/watch?v=J_wjF_EL5l8,2021-05-24 21:18:51.105,2
MxGamer789 K.O, PEQUENOS GRANDES HERÓIS - FILME 2020 - TRAILER OFICIAL NETFLIX,2021-05-24 21:12:45.210,2
Netflix Brasil," Pequenos Grandes Heróis, com Priyanka Chopra Jonas e Pedro Pascal | Trailer oficial | Netflix",2021-05-24 21:12:39.987,2
adsense, Sombra e Ossos  Temporada 1 | Netflix,2021-05-23 23:39:15.920,2
Marcelo Kimura, Arte e Design: qual a diferença?,2021-05-21 21:01:21.325,2
IDEIAS INCRÍVEIS, PISTOLA DE COLA QUENTE VS. CANETA 3D! ESTE É UM NOVO NÍVEL DE ELABORAÇÃO,2021-05-21 16:24:57.782,2
IDEIAS INCRÍVEIS, COMO FAZER QUALQUER COISA COM UMA CANETA 3D E COLA QUENTE || ARTESANATOS FOFOS,2021-05-21 16:22:17.845,2
Ideias Incríveis HOMENS, 13 IDEIAS INCRÍVEIS PARA DESENHOS,2021-05-21 16:18:02.298,2
IDEIAS INCRÍVEIS, 22 TRUQUES FÁCEIS DE DESENHOS PARA INICIANTES || TUTORIAIS E DICAS DE DESENHO E PINTURA,2021-05-21 16:09:16.399,2
TechZone, BRINQUEDOS INCRÍVEIS QUE ESTÃO EM UM NOVO NÍVEL,2021-05-21 16:07:10.427,2
IDEIAS INCRÍVEIS, 36 DICAS FANTÁSTICAS COZINHA PARA PRINCIPIANTES QUE SÃO REALMENTE T FÁCEIS,2021-05-21 16:03:48.140,2
TechZone, 10 BRINQUEDOS DIVERTIDOS QUE TODO MUNDO VAI CURTIR,2021-05-21 16:01:03.326,2
TechZone, 9 BRINQUEDOS LEGAIS DE ÚLTIMA GERAÇÃO,2021-05-21 16:00:19.359,2
Cortes do Flow [OFICIAL], APANHOU POR FAZER PIADA  | Cortes do Flow,2021-05-21 15:59:05.274,2
Tudo e Mais Um Pouco, MELHORES PIPAS DO MUNDO 😱😍🌏,2021-05-21 15:57:43.654,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA FALA SOBRE GABRIEL MONTEIRO,2021-05-21 15:57:05.354,2
adsense, FICANDO LOUCO COM KURT COBAIN ✂ JOÃO GORDO,2021-05-21 12:26:03.893,2
Cortes do Flow [OFICIAL], CRIME ORGANIZADO NO BRASIL | Cortes do Flow,2021-05-21 12:20:47.460,2
Flow Podcast e PodPah - Cortes, IGOR ASSUME PRO DELEGADO DA CUNHA QUE FOI CHAMADO PRA MILÍCIA,2021-05-21 12:12:06.074,2
Talk Flow, CONVIDARAM IGOR PRA MILÍCIA,2021-05-20 22:03:57.986,2
Cortes do Flow [OFICIAL], FLOW E DA CUNHA DEBATEM LEGALIZAÇÃO DAS DROGAS | Cortes do Flow,2021-05-20 21:42:58.066,2
Cortes do Flow [OFICIAL], MONARK É PRESO AO VIVO | Cortes do Flow,2021-05-20 21:40:42.727,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA SOBRE OPERAÇÃO NO JACAREZINHO,2021-05-20 21:31:10.123,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA NÃO PODE PRENDER O MONARK?,2021-05-20 21:09:01.022,2
Tudo e Mais Um Pouco, MELHORES FILMES ANIMADOS DO MUNDO 🌏 😱❤️,2021-05-20 19:05:13.069,2
Tudo e Mais Um Pouco, SLIMES MAS BONITAS DO MUNDO 😱🌏😍,2021-05-20 19:05:09.084,2
Leticia Siuva, como ATIVAR os COMENTÁRIOS do VÍDEO NO YOUTUBE 2021 (ATUALIZADO),2021-05-20 18:54:59.471,2
Grupinho Da Lobinha," Tutorial,como ativar os comentários do seu vídeo",2021-05-20 18:50:19.782,2
TechZone, BRINQUEDOS INCRÍVEIS QUE ESTÃO EM UM NOVO NÍVEL,2021-05-20 12:59:29.764,2
adsense, https://www.youtube.com/watch?v=wIm33oURdlc,2021-05-20 12:00:39.727,2
Flow Fora de Contexto, como perder patrocínio em 40 segundos *speedrun*,2021-05-20 11:59:35.058,2
Escola de Pipeiros, As 5 Melhores pipas para soltar (Segundo alunos do canal) | Escola para Pipeiros,2021-05-20 03:02:22.504,2
Tudo e Mais Um Pouco, SLIMES MAS BONITAS DO MUNDO 😱🌏😍,2021-05-20 02:17:35.124,2
Cortes do Flow [OFICIAL], MONARK DANDO AULA SOBRE YOUTUBE | Cortes do Flow,2021-05-17 21:14:24.766,2
Flávio M Machado, Quando se bate um carro a ~ 200 km/ h ...🚗💥💢#pancada,2021-05-17 21:14:15.535,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA ESCULACHA MONARK DO FLOW PODCAST,2021-05-16 18:06:41.103,2
Flow Podcast e PodPah - Cortes, DELEGADO DA CUNHA - POLÍCIA PODE OBRIGAR A DESBLOQUEAR O CELULAR? E INVADIR CASA SEM MANDADO?,2021-05-15 12:50:21.907,2
Cortes do Flow [OFICIAL], IGOR SE IRRITA COM DEFANTE E ABANDONA CONVERSA | Cortes do Flow,2021-05-15 12:44:05.794,2
Cortes do Flow [OFICIAL]," DEFANTE QUEBRA O FONE DO FLOW E VAZA, ANÃO MANDA A REAL | Cortes do Flow",2021-05-15 12:40:36.863,2
Cortes do Flow [OFICIAL], A CASA CAIU | Cortes do Flow,2021-05-15 12:40:07.644,2
Cortes do Flow [OFICIAL], CONVIDADA DEIXA MONARK SEM PALAVRAS | Cortes do Flow,2021-05-15 12:36:16.096,2
adsense,Visited https://zenbook.com.br/,2021-05-15 12:32:29.284,2
Cortes do Flow [OFICIAL], SOBRE O IMPEACHMENT DO BOLSONARO | Cortes do Flow,2021-05-15 12:16:27.559,2
Cortes do Flow [OFICIAL], TRETA NO GRANDE DEBATE DA CNN | Cortes do Flow,2021-05-15 12:08:35.335,2
Flow Podcast e PodPah - Cortes, CLIMA FICA TENSO ENTRE MONARK E GABRIELA PRIOLI EM DEBATE (Flow Podcast),2021-05-15 11:55:29.321,2
